Table_ID,Module_ID,Table_Name,Column_Name,Data_Type,Nullable,Default_Value,Description,Column_Category
HCM-T001,HCM,HCM_EMPLOYEES,EFFECTIVE_START_DATE,DATE,NOT NULL,,Effective start date,Business
HCM-T001,HCM,HCM_EMPLOYEES,EFFECTIVE_END_DATE,DATE,NULL,31-DEC-4712,Effective end date,Business
HCM-T001,HCM,HCM_EMPLOYEES,EFFECTIVE_LATEST_CHANGE,VARCHAR2(1),NULL,Y,Latest effective record (Y/N),Business
HCM-T001,HCM,HCM_EMPLOYEES,EFFECTIVE_SEQUENCE,NUMBER(9),NULL,1,Effective sequence number,Business
HCM-T001,HCM,HCM_EMPLOYEES,REHIRE_FLAG,VARCHAR2(1),NULL,N,Is rehire (Y/N),Business
HCM-T001,HCM,HCM_EMPLOYEES,BENEFIT_GROUP_ID,NUMBER(15),NULL,,Benefit group reference,FK
HCM-T001,HCM,HCM_EMPLOYEES,PAYROLL_ID,NUMBER(15),NULL,,Default payroll reference,FK
HCM-T001,HCM,HCM_EMPLOYEES,PAY_FREQUENCY,VARCHAR2(30),NULL,,Pay frequency,Business
HCM-T001,HCM,HCM_EMPLOYEES,ATTRIBUTE_CATEGORY,VARCHAR2(30),NULL,,Descriptive flexfield category,DFF
HCM-T001,HCM,HCM_EMPLOYEES,ATTRIBUTE1,VARCHAR2(150),NULL,,Descriptive flexfield attribute 1,DFF
HCM-T001,HCM,HCM_EMPLOYEES,ATTRIBUTE2,VARCHAR2(150),NULL,,Descriptive flexfield attribute 2,DFF
HCM-T001,HCM,HCM_EMPLOYEES,ATTRIBUTE3,VARCHAR2(150),NULL,,Descriptive flexfield attribute 3,DFF
HCM-T001,HCM,HCM_EMPLOYEES,ATTRIBUTE4,VARCHAR2(150),NULL,,Descriptive flexfield attribute 4,DFF
HCM-T001,HCM,HCM_EMPLOYEES,ATTRIBUTE5,VARCHAR2(150),NULL,,Descriptive flexfield attribute 5,DFF
HCM-T001,HCM,HCM_EMPLOYEES,CREATED_BY,NUMBER(15),NOT NULL,,User who created the record,WHO
HCM-T001,HCM,HCM_EMPLOYEES,CREATION_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Record creation timestamp,WHO
HCM-T001,HCM,HCM_EMPLOYEES,LAST_UPDATED_BY,NUMBER(15),NOT NULL,,User who last updated the record,WHO
HCM-T001,HCM,HCM_EMPLOYEES,LAST_UPDATE_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Last update timestamp,WHO
HCM-T001,HCM,HCM_EMPLOYEES,LAST_UPDATE_LOGIN,NUMBER(15),NULL,,Last update login session,WHO
HCM-T001,HCM,HCM_EMPLOYEES,OBJECT_VERSION_NUMBER,NUMBER(9),NOT NULL,1,Optimistic locking version,WHO

PAY-T010,PAY,PAY_PAYROLL_RUNS,PAYROLL_RUN_ID,NUMBER(15),NOT NULL,,Primary key,PK
PAY-T010,PAY,PAY_PAYROLL_RUNS,BU_ID,NUMBER(15),NOT NULL,,Business unit reference,MultiOrg
PAY-T010,PAY,PAY_PAYROLL_RUNS,LEGAL_ENTITY_ID,NUMBER(15),NOT NULL,,Legal entity,MultiOrg
PAY-T010,PAY,PAY_PAYROLL_RUNS,PAYROLL_ID,NUMBER(15),NOT NULL,,Payroll setup reference,FK
PAY-T010,PAY,PAY_PAYROLL_RUNS,RUN_NUMBER,VARCHAR2(50),NOT NULL,,Unique run number,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,RUN_NAME,VARCHAR2(240),NULL,,Descriptive run name,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,PAY_PERIOD_START,DATE,NOT NULL,,Pay period start date,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,PAY_PERIOD_END,DATE,NOT NULL,,Pay period end date,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,PAY_DATE,DATE,NOT NULL,,Payment date,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,CHECK_DATE,DATE,NULL,,Check date,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,GL_DATE,DATE,NOT NULL,,GL posting date,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,RUN_TYPE,VARCHAR2(30),NULL,REGULAR,REGULAR/SUPPLEMENTAL/ADJUSTMENT/FINAL,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,RUN_STATUS,VARCHAR2(30),NULL,IN_PROGRESS,IN_PROGRESS/CALCULATED/VALIDATED/POSTED/PAID,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,POSTING_STATUS,VARCHAR2(30),NULL,NOT_POSTED,NOT_POSTED/POSTING/POSTED/ERROR,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,POSTED_DATE,TIMESTAMP,NULL,,GL posting timestamp,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,EMPLOYEE_COUNT,NUMBER(10),NULL,0,Number of employees processed,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,TOTAL_GROSS,NUMBER(20,2),NULL,0,Total gross pay,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,TOTAL_NET,NUMBER(20,2),NULL,0,Total net pay,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,TOTAL_DEDUCTIONS,NUMBER(20,2),NULL,0,Total deductions,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,TOTAL_TAXES,NUMBER(20,2),NULL,0,Total taxes withheld,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,TOTAL_EMPLOYER_TAXES,NUMBER(20,2),NULL,0,Total employer tax liability,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,CALCULATION_START_DATE,TIMESTAMP,NULL,,Calculation start timestamp,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,CALCULATION_END_DATE,TIMESTAMP,NULL,,Calculation end timestamp,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,CALCULATED_BY,NUMBER(15),NULL,,User who calculated,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,VALIDATED_FLAG,VARCHAR2(1),NULL,N,Payroll validated (Y/N),Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,VALIDATED_DATE,TIMESTAMP,NULL,,Validation timestamp,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,VALIDATED_BY,NUMBER(15),NULL,,User who validated,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,APPROVED_FLAG,VARCHAR2(1),NULL,N,Payroll approved (Y/N),Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,APPROVED_DATE,TIMESTAMP,NULL,,Approval timestamp,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,APPROVED_BY,NUMBER(15),NULL,,User who approved,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,VOID_FLAG,VARCHAR2(1),NULL,N,Payroll voided (Y/N),Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,VOID_DATE,TIMESTAMP,NULL,,Void timestamp,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,VOID_REASON,VARCHAR2(1000),NULL,,Void reason,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,CURRENCY_CODE,VARCHAR2(15),NULL,,Payroll currency,Business
PAY-T010,PAY,PAY_PAYROLL_RUNS,ATTRIBUTE_CATEGORY,VARCHAR2(30),NULL,,Descriptive flexfield category,DFF
PAY-T010,PAY,PAY_PAYROLL_RUNS,ATTRIBUTE1,VARCHAR2(150),NULL,,Descriptive flexfield attribute 1,DFF
PAY-T010,PAY,PAY_PAYROLL_RUNS,ATTRIBUTE2,VARCHAR2(150),NULL,,Descriptive flexfield attribute 2,DFF
PAY-T010,PAY,PAY_PAYROLL_RUNS,ATTRIBUTE3,VARCHAR2(150),NULL,,Descriptive flexfield attribute 3,DFF
PAY-T010,PAY,PAY_PAYROLL_RUNS,ATTRIBUTE4,VARCHAR2(150),NULL,,Descriptive flexfield attribute 4,DFF
PAY-T010,PAY,PAY_PAYROLL_RUNS,ATTRIBUTE5,VARCHAR2(150),NULL,,Descriptive flexfield attribute 5,DFF
PAY-T010,PAY,PAY_PAYROLL_RUNS,CREATED_BY,NUMBER(15),NOT NULL,,User who created the record,WHO
PAY-T010,PAY,PAY_PAYROLL_RUNS,CREATION_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Record creation timestamp,WHO
PAY-T010,PAY,PAY_PAYROLL_RUNS,LAST_UPDATED_BY,NUMBER(15),NOT NULL,,User who last updated the record,WHO
PAY-T010,PAY,PAY_PAYROLL_RUNS,LAST_UPDATE_DATE,TIMESTAMP,NOT NULL,CURRENT_TIMESTAMP,Last update timestamp,WHO
PAY-T010,PAY,PAY_PAYROLL_RUNS,LAST_UPDATE_LOGIN,NUMBER(15),NULL,,Last update login session,WHO
PAY-T010,PAY,PAY_PAYROLL_RUNS,OBJECT_VERSION_NUMBER,NUMBER(9),NOT NULL,1,Optimistic locking version,WHO
PAY-T010,PAY,PAY_PAYROLL_RUNS,REQUEST_ID,NUMBER(15),NULL,,Concurrent request ID,WHO
