Page_ID,Module_ID,Module_Name,Page_Name,Page_Type,Page_Category,Feature_IDs,Description,User_Roles,Menu_Path,Estimated_Complexity
CM-P001,CM,Cost Management,Costing Methods,List,Setup,"CM-010,CM-011,CM-012",Configure item costing methods,Cost Accountant,Setup > Cost > Methods,High
CM-P002,CM,Cost Management,Item Costs,List,Costs,"CM-020,CM-021,CM-022",Maintain item cost details,Cost Accountant,Cost > Item Costs,High
CM-P003,CM,Cost Management,Standard Cost Update,Process,Costs,"CM-030,CM-031,CM-032",Update standard costs,Cost Accountant,Cost > Standard Cost Update,High
CM-P004,CM,Cost Management,Cost Rollup,Process,Costs,"CM-040,CM-041",Roll up component costs,Cost Accountant,Cost > Cost Rollup,High
CM-P005,CM,Cost Management,Variance Analysis,Report,Analysis,"CM-050,CM-051,CM-052",Analyze cost variances,Cost Accountant,Cost > Reports > Variances,High
CM-P006,CM,Cost Management,Overhead Allocations,Process,Overhead,"CM-060,CM-061",Allocate overhead to products,Cost Accountant,Cost > Overhead,High
CM-P007,CM,Cost Management,Cost Dashboard,Dashboard,Analytics,CM-070,Cost management KPIs,Cost Manager,Cost > Dashboard,High

LCM-P001,LCM,Landed Cost,Shipments List,List,Shipments,LCM-010,Browse international shipments,Logistics Coordinator,Landed Cost > Shipments,Medium
LCM-P002,LCM,Landed Cost,Shipment Form,Form,Shipments,"LCM-010,LCM-011,LCM-012",Create/track shipment,Logistics Coordinator,Landed Cost > Shipments > New/Edit,High
LCM-P003,LCM,Landed Cost,Freight Charges,Form,Costs,"LCM-020,LCM-021",Record freight charges,Logistics Coordinator,Landed Cost > Freight,Medium
LCM-P004,LCM,Landed Cost,Duty Calculation,Process,Costs,"LCM-030,LCM-031,LCM-032",Calculate import duties,Import Specialist,Landed Cost > Duties,High
LCM-P005,LCM,Landed Cost,HTS Code Lookup,Search,Reference,LCM-033,Search harmonized tariff codes,Import Specialist,Landed Cost > HTS Codes,Medium
LCM-P006,LCM,Landed Cost,Cost Allocation,Process,Costs,"LCM-040,LCM-041",Allocate landed costs to items,Logistics Coordinator,Landed Cost > Allocations,High
LCM-P007,LCM,Landed Cost,TCO Analysis,Report,Analysis,LCM-060,Total cost of ownership report,Purchasing Manager,Landed Cost > Reports > TCO,High

PDM-P001,PDM,Product Management,Products List,List,Products,PDM-010,Browse product catalog,Product Manager,Products > Catalog,Low
PDM-P002,PDM,Product Management,Product Form,Form,Products,"PDM-010,PDM-011,PDM-012,PDM-013",Create/edit product master,Product Manager,Products > Catalog > New/Edit,High
PDM-P003,PDM,Product Management,Product Attributes,Grid,Products,"PDM-020,PDM-021,PDM-022",Manage flexible attributes,Product Manager,Products > Attributes,High
PDM-P004,PDM,Product Management,Categories,Tree View,Taxonomy,"PDM-030,PDM-031,PDM-032",Manage product taxonomy,Product Manager,Products > Categories,Medium
PDM-P005,PDM,Product Management,Product Relationships,Grid,Products,"PDM-040,PDM-041,PDM-042",Define product relationships,Product Manager,Products > Relationships,Medium
PDM-P006,PDM,Product Management,Digital Assets,Gallery,Assets,"PDM-050,PDM-051",Manage product images/videos,Product Manager,Products > Digital Assets,High
PDM-P007,PDM,Product Management,Product Lifecycle,Workflow,Lifecycle,"PDM-060,PDM-061",Manage product lifecycle stages,Product Manager,Products > Lifecycle,Medium
PDM-P008,PDM,Product Management,Catalog Publishing,Process,Catalogs,"PDM-070,PDM-071,PDM-072",Publish multi-channel catalogs,Product Manager,Products > Publish,High

CSH-P001,CSH,Cash Management,Bank Accounts,List,Setup,"CSH-010,CSH-011,CSH-012",Manage bank accounts,Treasury Analyst,Setup > Cash > Bank Accounts,Medium
CSH-P002,CSH,Cash Management,Bank Statements,List,Transactions,"CSH-020,CSH-021",Import bank statements,Treasury Analyst,Cash > Bank Statements,Medium
CSH-P003,CSH,Cash Management,Bank Reconciliation,Workbench,Reconciliation,"CSH-030,CSH-031,CSH-032",Reconcile bank accounts,Treasury Analyst,Cash > Reconciliation,High
CSH-P004,CSH,Cash Management,Cash Position,Dashboard,Treasury,"CSH-040,CSH-041",View daily cash position,Treasury Manager,Cash > Position,High
CSH-P005,CSH,Cash Management,Cash Forecast,Report,Treasury,"CSH-050,CSH-051,CSH-052",Cash flow forecasting,Treasury Manager,Cash > Forecast,High
CSH-P006,CSH,Cash Management,Positive Pay,Process,Fraud Prevention,"CSH-060,CSH-061",Generate positive pay files,Treasury Analyst,Cash > Positive Pay,Medium
CSH-P007,CSH,Cash Management,Cash Dashboard,Dashboard,Analytics,CSH-070,Treasury metrics and KPIs,Treasury Manager,Cash > Dashboard,High

FA-P001,FA,Fixed Assets,Asset Categories,List,Setup,"FA-010,FA-011",Manage asset categories,FA Administrator,Setup > Assets > Categories,Low
FA-P002,FA,Fixed Assets,Depreciation Books,List,Setup,"FA-020,FA-021,FA-022",Configure depreciation books,FA Administrator,Setup > Assets > Books,High
FA-P003,FA,Fixed Assets,Depreciation Methods,List,Setup,"FA-030,FA-031",Define depreciation methods,FA Administrator,Setup > Assets > Methods,Medium
FA-P004,FA,Fixed Assets,Assets List,List,Assets,FA-040,Browse asset inventory,FA Clerk,Assets > Asset Register,Medium
FA-P005,FA,Fixed Assets,Asset Form,Form,Assets,"FA-040,FA-041,FA-042,FA-043",Create/edit asset master,FA Clerk,Assets > Asset Register > New/Edit,High
FA-P006,FA,Fixed Assets,Asset Addition,Form,Transactions,"FA-050,FA-051",Capitalize new assets,FA Clerk,Assets > Additions,Medium
FA-P007,FA,Fixed Assets,Asset Adjustment,Form,Transactions,"FA-060,FA-061",Adjust asset cost/life,FA Clerk,Assets > Adjustments,Medium
FA-P008,FA,Fixed Assets,Asset Transfer,Form,Transactions,"FA-070,FA-071",Transfer between locations/depts,FA Clerk,Assets > Transfers,Medium
FA-P009,FA,Fixed Assets,Asset Retirement,Form,Transactions,"FA-080,FA-081,FA-082",Retire/dispose assets,FA Clerk,Assets > Retirements,High
FA-P010,FA,Fixed Assets,Depreciation Run,Process,Processing,"FA-090,FA-091,FA-092",Calculate period depreciation,FA Accountant,Assets > Depreciation > Run,High
FA-P011,FA,Fixed Assets,Physical Inventory,Workbench,Inventory,"FA-100,FA-101,FA-102",Asset physical verification,FA Clerk,Assets > Physical Inventory,High
FA-P012,FA,Fixed Assets,Lease Assets,List,Leases,"FA-110,FA-111,FA-112",Manage lease assets (ASC 842),FA Accountant,Assets > Leases,High
FA-P013,FA,Fixed Assets,CIP Projects,List,CIP,"FA-120,FA-121,FA-122",Construction in progress,FA Accountant,Assets > CIP,High
FA-P014,FA,Fixed Assets,FA Dashboard,Dashboard,Analytics,FA-130,Asset metrics and depreciation,FA Manager,Assets > Dashboard,High
FA-P015,FA,Fixed Assets,Asset Register Report,Report,Reports,FA-131,Complete asset register,FA Manager,Assets > Reports > Register,Medium

COMMON-P001,Common,Common,Home Dashboard,Dashboard,Home,,Personalized home page,All Users,Home,High
COMMON-P002,Common,Common,Notifications Center,List,Notifications,,View system notifications,All Users,Notifications,Medium
COMMON-P003,Common,Common,My Approvals,Workflow,Approvals,,Centralized approval workbench,Approvers,My Approvals,High
COMMON-P004,Common,Common,Reports Library,List,Reports,,Browse all reports,All Users,Reports,Medium
COMMON-P005,Common,Common,Favorites,List,Navigation,,User bookmarks,All Users,Favorites,Low
COMMON-P006,Common,Common,Search Global,Search,Navigation,,Global search across modules,All Users,Search,High
COMMON-P007,Common,Common,Help Center,Documentation,Help,,Online help and documentation,All Users,Help,Low
COMMON-P008,Common,Common,System Settings,Form,Administration,,System-wide configuration,System Administrator,Administration > Settings,High
