Table_ID,Module_ID,Module_Name,Table_Name,Table_Description,Primary_Key,Key_Columns,Indexes,Foreign_Keys,Estimated_Rows,Audit_Trail,Comments
OM-T004,OM,Order Management,OM_PRICE_LIST_LINES,Price list lines,PRICE_LIST_LINE_ID,"PRICE_LIST_LINE_ID, PRICE_LIST_ID, ITEM_ID, UNIT_PRICE","IDX_OM_PLL_LIST, IDX_OM_PLL_ITEM","PRICE_LIST_ID->OM_PRICE_LISTS(PRICE_LIST_ID), ITEM_ID->INV_ITEMS(ITEM_ID)",500000,Yes,Item prices
OM-T005,OM,Order Management,OM_ORDERS,Sales order headers,ORDER_ID,"ORDER_ID, ORDER_NUMBER, CUSTOMER_ID, ORDER_DATE, TOTAL_AMOUNT, STATUS","IDX_OM_ORD_NUMBER, IDX_OM_ORD_CUSTOMER, IDX_OM_ORD_DATE, IDX_OM_ORD_STATUS","CUSTOMER_ID->AR_CUSTOMERS(CUSTOMER_ID)",20000000,Yes,Sales order headers
OM-T006,OM,Order Management,OM_ORDER_LINES,Sales order lines,ORDER_LINE_ID,"ORDER_LINE_ID, ORDER_ID, LINE_NUMBER, ITEM_ID, QUANTITY, UNIT_PRICE, AMOUNT","IDX_OM_ORDLINES_ORDER, IDX_OM_ORDLINES_ITEM","ORDER_ID->OM_ORDERS(ORDER_ID), ITEM_ID->INV_ITEMS(ITEM_ID)",80000000,Yes,Order line items
OM-T007,OM,Order Management,OM_ORDER_HOLDS,Order holds,HOLD_ID,"HOLD_ID, ORDER_ID, HOLD_TYPE, HOLD_REASON, RELEASE_DATE","IDX_OM_HOLDS_ORDER, IDX_OM_HOLDS_TYPE","ORDER_ID->OM_ORDERS(ORDER_ID)",2000000,Yes,Order processing holds
OM-T008,OM,Order Management,OM_SHIPMENTS,Shipment headers,SHIPMENT_ID,"SHIPMENT_ID, SHIPMENT_NUMBER, SHIP_DATE, CARRIER, TRACKING_NUMBER","IDX_OM_SHIP_NUMBER, IDX_OM_SHIP_DATE, IDX_OM_SHIP_TRACKING",None,10000000,Yes,Shipment batches
OM-T009,OM,Order Management,OM_SHIPMENT_LINES,Shipment line details,SHIPMENT_LINE_ID,"SHIPMENT_LINE_ID, SHIPMENT_ID, ORDER_LINE_ID, SHIPPED_QUANTITY","IDX_OM_SHIPLINES_SHIP, IDX_OM_SHIPLINES_ORDER","SHIPMENT_ID->OM_SHIPMENTS(SHIPMENT_ID), ORDER_LINE_ID->OM_ORDER_LINES(ORDER_LINE_ID)",40000000,Yes,Shipped quantities
OM-T010,OM,Order Management,OM_RETURNS,Return headers,RETURN_ID,"RETURN_ID, RETURN_NUMBER, CUSTOMER_ID, RETURN_DATE, STATUS","IDX_OM_RET_NUMBER, IDX_OM_RET_CUSTOMER, IDX_OM_RET_STATUS","CUSTOMER_ID->AR_CUSTOMERS(CUSTOMER_ID)",1000000,Yes,Return merchandise authorizations
OM-T011,OM,Order Management,OM_RETURN_LINES,Return line details,RETURN_LINE_ID,"RETURN_LINE_ID, RETURN_ID, ORDER_LINE_ID, RETURN_QUANTITY, RETURN_REASON","IDX_OM_RETLINES_RET, IDX_OM_RETLINES_ORDER","RETURN_ID->OM_RETURNS(RETURN_ID), ORDER_LINE_ID->OM_ORDER_LINES(ORDER_LINE_ID)",3000000,Yes,Returned items
OM-T012,OM,Order Management,OM_QUOTES,Sales quotations,QUOTE_ID,"QUOTE_ID, QUOTE_NUMBER, CUSTOMER_ID, QUOTE_DATE, VALID_UNTIL, STATUS","IDX_OM_QUOTE_NUMBER, IDX_OM_QUOTE_CUSTOMER, IDX_OM_QUOTE_STATUS","CUSTOMER_ID->AR_CUSTOMERS(CUSTOMER_ID)",5000000,Yes,Sales quotes

CM-T001,CM,Cost Management,CM_COSTING_METHODS,Costing method configuration,COSTING_METHOD_ID,"COSTING_METHOD_ID, METHOD_NAME, METHOD_TYPE, ORG_ID",IDX_CM_METHOD_ORG,"ORG_ID->INV_ORGANIZATIONS(ORG_ID)",100,Yes,Standard/Average/FIFO/LIFO/Actual
CM-T002,CM,Cost Management,CM_COST_TYPES,Cost type definitions,COST_TYPE_ID,"COST_TYPE_ID, COST_TYPE_NAME, COST_TYPE_DESCRIPTION",IDX_CM_COSTTYPE_NAME,None,50,Yes,Material/Labor/Overhead/etc
CM-T003,CM,Cost Management,CM_ITEM_COSTS,Item cost details,ITEM_COST_ID,"ITEM_COST_ID, ITEM_ID, ORG_ID, COST_TYPE_ID, UNIT_COST, EFFECTIVE_DATE","IDX_CM_IC_ITEM, IDX_CM_IC_ORG, IDX_CM_IC_DATE","ITEM_ID->INV_ITEMS(ITEM_ID), ORG_ID->INV_ORGANIZATIONS(ORG_ID)",10000000,Yes,Item costs by type
CM-T004,CM,Cost Management,CM_STANDARD_COSTS,Standard cost definitions,STANDARD_COST_ID,"STANDARD_COST_ID, ITEM_ID, ORG_ID, STANDARD_COST, EFFECTIVE_DATE","IDX_CM_STD_ITEM, IDX_CM_STD_ORG","ITEM_ID->INV_ITEMS(ITEM_ID), ORG_ID->INV_ORGANIZATIONS(ORG_ID)",5000000,Yes,Predetermined costs
CM-T005,CM,Cost Management,CM_COST_VARIANCES,Cost variance tracking,VARIANCE_ID,"VARIANCE_ID, ITEM_ID, ORG_ID, VARIANCE_TYPE, VARIANCE_AMOUNT, TRANSACTION_DATE","IDX_CM_VAR_ITEM, IDX_CM_VAR_DATE","ITEM_ID->INV_ITEMS(ITEM_ID)",50000000,Yes,Purchase/Usage/Rate variances
CM-T006,CM,Cost Management,CM_OVERHEAD_POOLS,Overhead cost pools,POOL_ID,"POOL_ID, POOL_NAME, ORG_ID, POOL_TYPE",IDX_CM_POOL_ORG,"ORG_ID->INV_ORGANIZATIONS(ORG_ID)",500,Yes,Overhead groupings
CM-T007,CM,Cost Management,CM_OVERHEAD_RATES,Overhead rate definitions,RATE_ID,"RATE_ID, POOL_ID, RATE_AMOUNT, EFFECTIVE_DATE, BASIS","IDX_CM_RATE_POOL, IDX_CM_RATE_DATE","POOL_ID->CM_OVERHEAD_POOLS(POOL_ID)",5000,Yes,Overhead application rates
CM-T008,CM,Cost Management,CM_ACTIVITY_COSTS,Activity-based costing,ACTIVITY_COST_ID,"ACTIVITY_COST_ID, ACTIVITY_ID, COST_DRIVER, COST_PER_DRIVER","IDX_CM_ABC_ACTIVITY",None,10000,Yes,ABC cost assignments
CM-T009,CM,Cost Management,CM_WIP_VALUES,Work in process valuations,WIP_VALUE_ID,"WIP_VALUE_ID, WIP_JOB_ID, ORG_ID, MATERIAL_COST, LABOR_COST, OVERHEAD_COST","IDX_CM_WIP_JOB, IDX_CM_WIP_ORG",None,2000000,No,WIP inventory values
CM-T010,CM,Cost Management,CM_COST_ROLLUPS,Cost rollup history,ROLLUP_ID,"ROLLUP_ID, ORG_ID, ROLLUP_DATE, STATUS","IDX_CM_ROLLUP_ORG, IDX_CM_ROLLUP_DATE","ORG_ID->INV_ORGANIZATIONS(ORG_ID)",10000,Yes,Cost recalculation runs
CM-T011,CM,Cost Management,CM_MARGIN_ANALYSIS,Product margin analysis,MARGIN_ID,"MARGIN_ID, ITEM_ID, SALES_PRICE, COST, MARGIN_PERCENT","IDX_CM_MARGIN_ITEM","ITEM_ID->INV_ITEMS(ITEM_ID)",1000000,No,Profitability analysis
CM-T012,CM,Cost Management,CM_COST_ADJUSTMENTS,Cost adjustment journal,ADJUSTMENT_ID,"ADJUSTMENT_ID, ITEM_ID, ORG_ID, OLD_COST, NEW_COST, ADJUSTMENT_DATE","IDX_CM_ADJ_ITEM, IDX_CM_ADJ_DATE","ITEM_ID->INV_ITEMS(ITEM_ID)",500000,Yes,Manual cost corrections

LCM-T001,LCM,Landed Cost,LCM_COST_COMPONENTS,Landed cost component definitions,COMPONENT_ID,"COMPONENT_ID, COMPONENT_NAME, COMPONENT_TYPE, CALCULATION_METHOD",IDX_LCM_COMP_TYPE,None,100,Yes,Freight/Duty/Insurance/Handling
LCM-T002,LCM,Landed Cost,LCM_SHIPMENTS,International shipment headers,SHIPMENT_ID,"SHIPMENT_ID, SHIPMENT_NUMBER, PO_ID, ORIGIN_PORT, DESTINATION_PORT, STATUS","IDX_LCM_SHIP_NUMBER, IDX_LCM_SHIP_PO, IDX_LCM_SHIP_STATUS","PO_ID->PO_HEADERS(PO_ID)",500000,Yes,Import shipments
LCM-T003,LCM,Landed Cost,LCM_SHIPMENT_LINES,Shipment line details,SHIPMENT_LINE_ID,"SHIPMENT_LINE_ID, SHIPMENT_ID, PO_LINE_ID, QUANTITY, WEIGHT, VOLUME","IDX_LCM_SHIPLINES_SHIP, IDX_LCM_SHIPLINES_PO","SHIPMENT_ID->LCM_SHIPMENTS(SHIPMENT_ID), PO_LINE_ID->PO_LINES(PO_LINE_ID)",2000000,Yes,Shipment items
LCM-T004,LCM,Landed Cost,LCM_FREIGHT_CHARGES,Freight charges,FREIGHT_ID,"FREIGHT_ID, SHIPMENT_ID, CARRIER, FREIGHT_AMOUNT, ALLOCATION_BASIS","IDX_LCM_FREIGHT_SHIP","SHIPMENT_ID->LCM_SHIPMENTS(SHIPMENT_ID)",500000,Yes,Transportation costs
LCM-T005,LCM,Landed Cost,LCM_DUTY_CHARGES,Duty and customs charges,DUTY_ID,"DUTY_ID, SHIPMENT_LINE_ID, HTS_CODE, DUTY_RATE, DUTY_AMOUNT","IDX_LCM_DUTY_LINE, IDX_LCM_DUTY_HTS","SHIPMENT_LINE_ID->LCM_SHIPMENT_LINES(SHIPMENT_LINE_ID)",2000000,Yes,Import duties
LCM-T006,LCM,Landed Cost,LCM_HTS_CODES,Harmonized tariff schedule,HTS_CODE_ID,"HTS_CODE_ID, HTS_CODE, DESCRIPTION, DUTY_RATE","IDX_LCM_HTS_CODE",None,100000,Yes,Tariff classifications
LCM-T007,LCM,Landed Cost,LCM_INSURANCE,Insurance charges,INSURANCE_ID,"INSURANCE_ID, SHIPMENT_ID, INSURANCE_AMOUNT, POLICY_NUMBER","IDX_LCM_INS_SHIP","SHIPMENT_ID->LCM_SHIPMENTS(SHIPMENT_ID)",500000,Yes,Cargo insurance
LCM-T008,LCM,Landed Cost,LCM_BROKER_FEES,Customs broker fees,BROKER_FEE_ID,"BROKER_FEE_ID, SHIPMENT_ID, BROKER_ID, FEE_AMOUNT","IDX_LCM_BROKER_SHIP","SHIPMENT_ID->LCM_SHIPMENTS(SHIPMENT_ID)",500000,Yes,Brokerage charges
LCM-T009,LCM,Landed Cost,LCM_COST_ALLOCATIONS,Landed cost allocations,ALLOCATION_ID,"ALLOCATION_ID, SHIPMENT_LINE_ID, COMPONENT_ID, ALLOCATED_AMOUNT","IDX_LCM_ALLOC_LINE, IDX_LCM_ALLOC_COMP","SHIPMENT_LINE_ID->LCM_SHIPMENT_LINES(SHIPMENT_LINE_ID), COMPONENT_ID->LCM_COST_COMPONENTS(COMPONENT_ID)",5000000,Yes,Cost apportionment to items
LCM-T010,LCM,Landed Cost,LCM_FTA_AGREEMENTS,Free trade agreements,FTA_ID,"FTA_ID, FTA_NAME, COUNTRY_FROM, COUNTRY_TO, EFFECTIVE_DATE","IDX_LCM_FTA_COUNTRIES",None,100,Yes,Trade agreement master
LCM-T011,LCM,Landed Cost,LCM_CERTIFICATES_OF_ORIGIN,Certificates of origin,CERTIFICATE_ID,"CERTIFICATE_ID, SHIPMENT_ID, CERTIFICATE_NUMBER, ISSUE_DATE, FTA_ID","IDX_LCM_CERT_SHIP, IDX_LCM_CERT_NUMBER","SHIPMENT_ID->LCM_SHIPMENTS(SHIPMENT_ID)",500000,Yes,Origin documentation
LCM-T012,LCM,Landed Cost,LCM_TCO_ANALYSIS,Total cost of ownership,TCO_ID,"TCO_ID, ITEM_ID, SUPPLIER_ID, TCO_AMOUNT, ANALYSIS_DATE","IDX_LCM_TCO_ITEM, IDX_LCM_TCO_SUPP","ITEM_ID->INV_ITEMS(ITEM_ID), SUPPLIER_ID->AP_SUPPLIERS(SUPPLIER_ID)",100000,No,Comprehensive cost analysis

PDM-T001,PDM,Product Management,PDM_PRODUCTS,Product master data,PRODUCT_ID,"PRODUCT_ID, PRODUCT_NUMBER, PRODUCT_NAME, PRODUCT_TYPE, STATUS","IDX_PDM_PROD_NUMBER, IDX_PDM_PROD_NAME, IDX_PDM_PROD_TYPE",None,1000000,Yes,Central product repository
PDM-T002,PDM,Product Management,PDM_PRODUCT_ATTRIBUTES,Product attribute definitions,ATTRIBUTE_ID,"ATTRIBUTE_ID, ATTRIBUTE_NAME, ATTRIBUTE_TYPE, DATA_TYPE",IDX_PDM_ATTR_NAME,None,500,Yes,Flexible attribute definitions
PDM-T003,PDM,Product Management,PDM_PRODUCT_ATTRIBUTE_VALUES,Product attribute values,ATTRIBUTE_VALUE_ID,"ATTRIBUTE_VALUE_ID, PRODUCT_ID, ATTRIBUTE_ID, ATTRIBUTE_VALUE","IDX_PDM_AV_PRODUCT, IDX_PDM_AV_ATTR","PRODUCT_ID->PDM_PRODUCTS(PRODUCT_ID), ATTRIBUTE_ID->PDM_PRODUCT_ATTRIBUTES(ATTRIBUTE_ID)",50000000,Yes,EAV model values
PDM-T004,PDM,Product Management,PDM_CATEGORIES,Product category hierarchy,CATEGORY_ID,"CATEGORY_ID, CATEGORY_NAME, PARENT_CATEGORY_ID, LEVEL","IDX_PDM_CAT_NAME, IDX_PDM_CAT_PARENT",None,10000,Yes,Taxonomy structure
PDM-T005,PDM,Product Management,PDM_PRODUCT_CATEGORIES,Product-category assignments,PRODUCT_CATEGORY_ID,"PRODUCT_CATEGORY_ID, PRODUCT_ID, CATEGORY_ID, PRIMARY_FLAG","IDX_PDM_PC_PRODUCT, IDX_PDM_PC_CATEGORY","PRODUCT_ID->PDM_PRODUCTS(PRODUCT_ID), CATEGORY_ID->PDM_CATEGORIES(CATEGORY_ID)",5000000,Yes,Product classifications
PDM-T006,PDM,Product Management,PDM_PRODUCT_RELATIONSHIPS,Product relationships,RELATIONSHIP_ID,"RELATIONSHIP_ID, PARENT_PRODUCT_ID, CHILD_PRODUCT_ID, RELATIONSHIP_TYPE","IDX_PDM_REL_PARENT, IDX_PDM_REL_CHILD","PARENT_PRODUCT_ID->PDM_PRODUCTS(PRODUCT_ID), CHILD_PRODUCT_ID->PDM_PRODUCTS(PRODUCT_ID)",2000000,Yes,Variants/Bundles/Cross-sell
PDM-T007,PDM,Product Management,PDM_PRODUCT_LIFECYCLE,Product lifecycle tracking,LIFECYCLE_ID,"LIFECYCLE_ID, PRODUCT_ID, STATUS, EFFECTIVE_DATE","IDX_PDM_LIFE_PRODUCT, IDX_PDM_LIFE_DATE","PRODUCT_ID->PDM_PRODUCTS(PRODUCT_ID)",3000000,Yes,Intro/Growth/Maturity/Decline
PDM-T008,PDM,Product Management,PDM_DIGITAL_ASSETS,Digital asset management,ASSET_ID,"ASSET_ID, PRODUCT_ID, ASSET_TYPE, FILE_PATH, FILE_NAME","IDX_PDM_ASSET_PRODUCT, IDX_PDM_ASSET_TYPE","PRODUCT_ID->PDM_PRODUCTS(PRODUCT_ID)",10000000,Yes,Images/Videos/Documents
PDM-T009,PDM,Product Management,PDM_PRODUCT_TRANSLATIONS,Multilingual product data,TRANSLATION_ID,"TRANSLATION_ID, PRODUCT_ID, LANGUAGE_CODE, FIELD_NAME, TRANSLATED_VALUE","IDX_PDM_TRANS_PRODUCT, IDX_PDM_TRANS_LANG","PRODUCT_ID->PDM_PRODUCTS(PRODUCT_ID)",20000000,Yes,Localized content
PDM-T010,PDM,Product Management,PDM_CATALOGS,Product catalog definitions,CATALOG_ID,"CATALOG_ID, CATALOG_NAME, CHANNEL, EFFECTIVE_DATE","IDX_PDM_CATALOG_NAME, IDX_PDM_CATALOG_CHANNEL",None,1000,Yes,Web/Print/Mobile catalogs
PDM-T011,PDM,Product Management,PDM_CATALOG_PRODUCTS,Catalog-product assignments,CATALOG_PRODUCT_ID,"CATALOG_PRODUCT_ID, CATALOG_ID, PRODUCT_ID, DISPLAY_SEQUENCE","IDX_PDM_CP_CATALOG, IDX_PDM_CP_PRODUCT","CATALOG_ID->PDM_CATALOGS(CATALOG_ID), PRODUCT_ID->PDM_PRODUCTS(PRODUCT_ID)",5000000,Yes,Products in catalogs
PDM-T012,PDM,Product Management,PDM_SPECIFICATIONS,Technical specifications,SPECIFICATION_ID,"SPECIFICATION_ID, PRODUCT_ID, SPEC_NAME, SPEC_VALUE, UOM","IDX_PDM_SPEC_PRODUCT","PRODUCT_ID->PDM_PRODUCTS(PRODUCT_ID)",10000000,Yes,Technical details

CSH-T001,CSH,Cash Management,CSH_BANK_ACCOUNTS,Bank account master,BANK_ACCOUNT_ID,"BANK_ACCOUNT_ID, ACCOUNT_NUMBER, BANK_NAME, CURRENCY_CODE, STATUS","IDX_CSH_BA_NUMBER, IDX_CSH_BA_CURRENCY",None,500,Yes,Company bank accounts
CSH-T002,CSH,Cash Management,CSH_BANK_BRANCHES,Bank branch details,BRANCH_ID,"BRANCH_ID, BANK_ACCOUNT_ID, BRANCH_NAME, ROUTING_NUMBER, SWIFT_CODE","IDX_CSH_BRANCH_ACCOUNT, IDX_CSH_BRANCH_ROUTING","BANK_ACCOUNT_ID->CSH_BANK_ACCOUNTS(BANK_ACCOUNT_ID)",1000,Yes,Bank location details
CSH-T003,CSH,Cash Management,CSH_BANK_STATEMENTS,Bank statement headers,STATEMENT_ID,"STATEMENT_ID, BANK_ACCOUNT_ID, STATEMENT_DATE, OPENING_BALANCE, CLOSING_BALANCE","IDX_CSH_STMT_ACCOUNT, IDX_CSH_STMT_DATE","BANK_ACCOUNT_ID->CSH_BANK_ACCOUNTS(BANK_ACCOUNT_ID)",100000,Yes,Monthly bank statements
CSH-T004,CSH,Cash Management,CSH_BANK_STATEMENT_LINES,Bank statement line details,STATEMENT_LINE_ID,"STATEMENT_LINE_ID, STATEMENT_ID, TRANSACTION_DATE, AMOUNT, DESCRIPTION","IDX_CSH_STMTLINE_STMT, IDX_CSH_STMTLINE_DATE","STATEMENT_ID->CSH_BANK_STATEMENTS(STATEMENT_ID)",5000000,Yes,Statement transactions
CSH-T005,CSH,Cash Management,CSH_RECEIPTS,Cash receipts,RECEIPT_ID,"RECEIPT_ID, BANK_ACCOUNT_ID, RECEIPT_DATE, AMOUNT, RECEIPT_METHOD","IDX_CSH_RCPT_ACCOUNT, IDX_CSH_RCPT_DATE","BANK_ACCOUNT_ID->CSH_BANK_ACCOUNTS(BANK_ACCOUNT_ID)",5000000,Yes,Incoming payments
CSH-T006,CSH,Cash Management,CSH_DISBURSEMENTS,Cash disbursements,DISBURSEMENT_ID,"DISBURSEMENT_ID, BANK_ACCOUNT_ID, PAYMENT_DATE, AMOUNT, PAYMENT_METHOD","IDX_CSH_DISB_ACCOUNT, IDX_CSH_DISB_DATE","BANK_ACCOUNT_ID->CSH_BANK_ACCOUNTS(BANK_ACCOUNT_ID)",3000000,Yes,Outgoing payments
CSH-T007,CSH,Cash Management,CSH_RECONCILIATIONS,Bank reconciliation headers,RECONCILIATION_ID,"RECONCILIATION_ID, BANK_ACCOUNT_ID, RECONCILIATION_DATE, STATUS","IDX_CSH_RECON_ACCOUNT, IDX_CSH_RECON_DATE","BANK_ACCOUNT_ID->CSH_BANK_ACCOUNTS(BANK_ACCOUNT_ID)",50000,Yes,Reconciliation runs
CSH-T008,CSH,Cash Management,CSH_RECONCILIATION_LINES,Reconciliation line matching,RECON_LINE_ID,"RECON_LINE_ID, RECONCILIATION_ID, STATEMENT_LINE_ID, SYSTEM_TRANSACTION_ID, MATCH_STATUS","IDX_CSH_RECONLINE_RECON, IDX_CSH_RECONLINE_STATUS","RECONCILIATION_ID->CSH_RECONCILIATIONS(RECONCILIATION_ID), STATEMENT_LINE_ID->CSH_BANK_STATEMENT_LINES(STATEMENT_LINE_ID)",5000000,Yes,Matched/Unmatched items
CSH-T009,CSH,Cash Management,CSH_CASH_FORECASTS,Cash forecast models,FORECAST_ID,"FORECAST_ID, FORECAST_NAME, FORECAST_DATE, FORECAST_PERIOD","IDX_CSH_FCST_DATE",None,10000,Yes,Cash projections
CSH-T010,CSH,Cash Management,CSH_FORECAST_LINES,Forecast line details,FORECAST_LINE_ID,"FORECAST_LINE_ID, FORECAST_ID, FORECAST_TYPE, FORECAST_AMOUNT, FORECAST_DATE","IDX_CSH_FCSTLINE_FCST, IDX_CSH_FCSTLINE_TYPE","FORECAST_ID->CSH_CASH_FORECASTS(FORECAST_ID)",500000,Yes,Receipts/Disbursements forecast
CSH-T011,CSH,Cash Management,CSH_POSITIVE_PAY,Positive pay file tracking,POSITIVE_PAY_ID,"POSITIVE_PAY_ID, BANK_ACCOUNT_ID, FILE_DATE, CHECK_COUNT, TOTAL_AMOUNT","IDX_CSH_PP_ACCOUNT, IDX_CSH_PP_DATE","BANK_ACCOUNT_ID->CSH_BANK_ACCOUNTS(BANK_ACCOUNT_ID)",50000,Yes,Fraud prevention files
CSH-T012,CSH,Cash Management,CSH_POSITIVE_PAY_LINES,Positive pay check details,PP_LINE_ID,"PP_LINE_ID, POSITIVE_PAY_ID, CHECK_NUMBER, PAYEE, AMOUNT","IDX_CSH_PPLINE_PP, IDX_CSH_PPLINE_CHECK","POSITIVE_PAY_ID->CSH_POSITIVE_PAY(POSITIVE_PAY_ID)",3000000,Yes,Check register
CSH-T013,CSH,Cash Management,CSH_TREASURY_POSITIONS,Daily treasury positions,POSITION_ID,"POSITION_ID, POSITION_DATE, TOTAL_RECEIPTS, TOTAL_DISBURSEMENTS, NET_POSITION","IDX_CSH_POS_DATE",None,10000,No,Daily cash position
CSH-T014,CSH,Cash Management,CSH_INVESTMENTS,Short-term investments,INVESTMENT_ID,"INVESTMENT_ID, INVESTMENT_TYPE, PRINCIPAL_AMOUNT, INTEREST_RATE, MATURITY_DATE","IDX_CSH_INV_TYPE, IDX_CSH_INV_MATURITY",None,1000,Yes,Money market/CDs

FA-T001,FA,Fixed Assets,FA_ASSET_CATEGORIES,Asset category master,CATEGORY_ID,"CATEGORY_ID, CATEGORY_NAME, ASSET_TYPE, DEFAULT_LIFE","IDX_FA_CAT_NAME, IDX_FA_CAT_TYPE",None,500,Yes,Building/Equipment/Vehicle/IT
FA-T002,FA,Fixed Assets,FA_BOOKS,Depreciation book setup,BOOK_ID,"BOOK_ID, BOOK_NAME, BOOK_TYPE, CURRENCY_CODE","IDX_FA_BOOK_NAME, IDX_FA_BOOK_TYPE",None,50,Yes,Corporate/Tax/IFRS books
FA-T003,FA,Fixed Assets,FA_ASSETS,Asset master data,ASSET_ID,"ASSET_ID, ASSET_NUMBER, ASSET_NAME, CATEGORY_ID, STATUS","IDX_FA_ASSET_NUMBER, IDX_FA_ASSET_NAME, IDX_FA_ASSET_CAT, IDX_FA_ASSET_STATUS","CATEGORY_ID->FA_ASSET_CATEGORIES(CATEGORY_ID)",500000,Yes,Fixed asset master
FA-T004,FA,Fixed Assets,FA_ASSET_BOOKS,Asset book assignments,ASSET_BOOK_ID,"ASSET_BOOK_ID, ASSET_ID, BOOK_ID, COST, SALVAGE_VALUE, USEFUL_LIFE","IDX_FA_AB_ASSET, IDX_FA_AB_BOOK","ASSET_ID->FA_ASSETS(ASSET_ID), BOOK_ID->FA_BOOKS(BOOK_ID)",1500000,Yes,Asset depreciation per book
FA-T005,FA,Fixed Assets,FA_DEPRECIATION_METHODS,Depreciation method configuration,METHOD_ID,"METHOD_ID, METHOD_NAME, METHOD_TYPE, FORMULA","IDX_FA_METHOD_NAME, IDX_FA_METHOD_TYPE",None,50,Yes,SL/DB/SYD/Units methods
FA-T006,FA,Fixed Assets,FA_DEPRECIATION_RULES,Depreciation rule assignments,RULE_ID,"RULE_ID, CATEGORY_ID, BOOK_ID, METHOD_ID, LIFE_IN_MONTHS","IDX_FA_RULE_CAT, IDX_FA_RULE_BOOK","CATEGORY_ID->FA_ASSET_CATEGORIES(CATEGORY_ID), BOOK_ID->FA_BOOKS(BOOK_ID), METHOD_ID->FA_DEPRECIATION_METHODS(METHOD_ID)",1000,Yes,Default depreciation setup
FA-T007,FA,Fixed Assets,FA_DEPRECIATION_DETAIL,Depreciation transaction detail,DEPRECIATION_ID,"DEPRECIATION_ID, ASSET_ID, BOOK_ID, PERIOD_ID, DEPRECIATION_AMOUNT","IDX_FA_DEPR_ASSET, IDX_FA_DEPR_BOOK, IDX_FA_DEPR_PERIOD","ASSET_ID->FA_ASSETS(ASSET_ID), BOOK_ID->FA_BOOKS(BOOK_ID)",10000000,Yes,Period depreciation
FA-T008,FA,Fixed Assets,FA_ADDITIONS,Asset addition transactions,ADDITION_ID,"ADDITION_ID, ASSET_ID, ADDITION_DATE, ADDITION_COST, INVOICE_ID","IDX_FA_ADD_ASSET, IDX_FA_ADD_DATE","ASSET_ID->FA_ASSETS(ASSET_ID)",2000000,Yes,Initial capitalization/additions
FA-T009,FA,Fixed Assets,FA_ADJUSTMENTS,Asset adjustment transactions,ADJUSTMENT_ID,"ADJUSTMENT_ID, ASSET_ID, BOOK_ID, ADJUSTMENT_TYPE, ADJUSTMENT_AMOUNT, ADJUSTMENT_DATE","IDX_FA_ADJ_ASSET, IDX_FA_ADJ_BOOK, IDX_FA_ADJ_DATE","ASSET_ID->FA_ASSETS(ASSET_ID), BOOK_ID->FA_BOOKS(BOOK_ID)",500000,Yes,Cost/life/method changes
FA-T010,FA,Fixed Assets,FA_RETIREMENTS,Asset retirement transactions,RETIREMENT_ID,"RETIREMENT_ID, ASSET_ID, RETIREMENT_DATE, NBV, PROCEEDS, GAIN_LOSS","IDX_FA_RET_ASSET, IDX_FA_RET_DATE","ASSET_ID->FA_ASSETS(ASSET_ID)",300000,Yes,Asset disposals
FA-T011,FA,Fixed Assets,FA_TRANSFERS,Asset transfer transactions,TRANSFER_ID,"TRANSFER_ID, ASSET_ID, FROM_LOCATION, TO_LOCATION, TRANSFER_DATE","IDX_FA_XFER_ASSET, IDX_FA_XFER_DATE","ASSET_ID->FA_ASSETS(ASSET_ID)",1000000,Yes,Location/department transfers
FA-T012,FA,Fixed Assets,FA_LOCATIONS,Asset location master,LOCATION_ID,"LOCATION_ID, LOCATION_CODE, LOCATION_NAME, PARENT_LOCATION_ID","IDX_FA_LOC_CODE, IDX_FA_LOC_NAME",None,5000,Yes,Physical locations
FA-T013,FA,Fixed Assets,FA_PHYSICAL_INVENTORY,Physical asset inventory,INVENTORY_ID,"INVENTORY_ID, INVENTORY_DATE, STATUS",IDX_FA_INV_DATE,None,1000,Yes,Asset verification events
FA-T014,FA,Fixed Assets,FA_INVENTORY_LINES,Inventory line details,INVENTORY_LINE_ID,"INVENTORY_LINE_ID, INVENTORY_ID, ASSET_ID, FOUND_FLAG, CONDITION","IDX_FA_INVLINE_INV, IDX_FA_INVLINE_ASSET","INVENTORY_ID->FA_PHYSICAL_INVENTORY(INVENTORY_ID), ASSET_ID->FA_ASSETS(ASSET_ID)",500000,Yes,Asset scan results
FA-T015,FA,Fixed Assets,FA_LEASES,Lease master data,LEASE_ID,"LEASE_ID, LEASE_NUMBER, LESSOR, START_DATE, END_DATE, LEASE_TYPE","IDX_FA_LEASE_NUMBER, IDX_FA_LEASE_TYPE",None,10000,Yes,ASC 842/IFRS 16 leases
FA-T016,FA,Fixed Assets,FA_LEASE_PAYMENTS,Lease payment schedule,LEASE_PAYMENT_ID,"LEASE_PAYMENT_ID, LEASE_ID, PAYMENT_DATE, PAYMENT_AMOUNT","IDX_FA_LEASEPMT_LEASE, IDX_FA_LEASEPMT_DATE","LEASE_ID->FA_LEASES(LEASE_ID)",500000,Yes,Lease payment terms
